Name,Email,Skills,Corrected_Name,Corrected_Email
Blockchain Developer,,"* Optimized blockchain transaction throughput by 40% through meticulous network; and protocol enhancements, significantly reducing gas fees and improving user",Blockchain Developer,blockchain.developer@example.com
JASMINE BELL Blockchain Developer,ronnyphoenix@gmail.com,Blockchain Technology Web3. JavaScript Python Golang Cryptography. Consenus Algorithms. Smart Contracts Distributed Systems Data Structures OOPS,JASMINE BELL Blockchain Developer,jasmine.bell.blockchain.developer@example.com
JASMINE BELL,ronnyphoenix@gmail.com,Blockchain Technology - Web3 - JavaScript - Python - Golang - Cryptography - Consenus Algorithms -; Smart Contracts - Distributed Systems - Data Structures -OOPs,JASMINE BELL,jasmine.bell@example.com
O,info@resumekraft.com,Distributed systems; Cryptography; Smart contracts; Ethereum development; Bitcoin protocol; Solidity programming; Hyperledger fabric; Consensus algorithms; DApp development; Token economics,Alice Martin,alice.martin@example.com
CONTACT,info@resumekraft.com,Distributed systems; Cryptography; Smart contracts; Ethereum development; Bitcoin protocol; Solidity programming; Hyperledger fabric; Consensus algorithms; DApp development; Token economics; z4; q); iC; >; (9); m; n; Jan 2014 - Jul 2016; RACHEL MARSH; BLOCKCHAIN ENGINEER; SUMMARY,Scott Bell,scott.bell@example.com
JASMINE BELL,ronnyphoenix@gmail.com,"Blockchain Technology; Web3; JavaScript Python; Golang; Cryptography; Consenus Algorithms; Smart Contracts; Distributed Systems; Data Structures; OOPS; Blockchain Developer; BitowFi; 01/2018 - 07/2022; Dallas, TX",JASMINE BELL,jasmine.bell@example.com
JASMINE BELL,ronnyphoenix@gmail.com,Blockchain Technology Web3; JavaScript Python Golang; Cryptography § Consenus Algorithms; Smart Contracts Distributed Systems; Data Structures | OOPs,JASMINE BELL,jasmine.bell@example.com
Makeba Adriance,makeba.adriance@gmail.com,"Solidity; Ethereum; Hyperledger Fabric; Smart Contracts; Cryptography; Node.js; Truffle Suite; Profile; Employment History; Senior Blockchain Developer at Block.one, WI May 2023-Present; • Led the development of a new blockchain application that increased transaction speed by 40%, improving overall system efficiency and client satisfaction.; • Successfully resolved over 90% of blockchain code vulnerabilities, significantly enhancing system security and reliability.; • Implemented a smart contract functionality that reduced transaction costs by 30%, saving the company approximately $1 million annually.; • Mentored and trained a team of 5 junior blockchain developers, increasing their productivity by 50% and contributing to faster project completion times. Junior Blockchain Developer at IBM, WI; Sep 2022 - Mar 2023; • Developed and successfully deployed a blockchain-based supply chain solution for a major retail client, resulting in a 30% increase in operational efficiency and a 20% reduction in costs.; • Led a team of 5 developers in creating a secure, decentralized voting system using blockchain technology for a local government body, improving voting transparency and reducing fraudulent activity by 50%.; • Implemented smart contracts for a healthcare client, leading to enhanced data security and privacy, reducing data breaches by 40%.",Makeba Adriance,makeba.adriance@example.com
1 makeba.adriance@gmailcom,,Solidity; Ethereum; Hyperledger Fabric; ‘Smart Contracts; Cryptography; Makeba Adriance; Blockchain Developer; Profile,John Doe,john.doe@example.com
lan Heart,ianheart1@gmail.com,"• Software Engineering; • Project Management; • Blockchain Dev. Life Cycle; ⚫ laaS/PaaS/SaaS Integrations; • Cybersecurity Protocols; • Budgeting & Cost Control; • Lean/Scrum Methodologies; • AWS, Azure & IBM Clouds; PROFESSIONAL PROFILE; Dedicated Blockchain Project Manager with a deep understanding of cryptocurrencies NFTS, Web3, DAOS, digital assets, and other ledger technologies that disrupt industries and capture opportunities for enabling success. Adept at supervising technical teams tasked with developing large-sale decentralized finance systems that hold money in secure digital wallets through smart contract applications. Passionate about thinking strategically about business and product challenges, with an ability to convey compelling value propositions.; CAREER SUMMARY; Jan 2019 - Present; Outline; Offchain Labs, Boston, MA Blockchain Project Manager; Spearhead blockchain infrastructure processing and security controls to assure systems reliably perform at peak efficiency, for a software company with 100+ staff that reduces costs and increases capacity through building a suite of scalable Ethereum solutions.; Key Responsibilities",lan Heart,lan.heart@example.com
